,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
241,Nancy Walton Laurie,4.1,4.7,4.0,4.3,5.8,5.7,7.1,7.5,8.1,7.9
242,Marie-Hélène Habert-Dassault,,,,,,6.0,4.7,7.3,8.4,8.1
243,Finn Rausing,5.1,5.1,5.5,6.0,6.6,7.9,9.1,13.9,9.8,8.9
244,Kirsten Rausing,5.1,5.1,5.5,6.0,6.6,7.9,9.1,13.9,9.8,8.9
245,Jorn Rausing,5.7,5.5,5.8,6.1,7.0,8.7,10.3,13.9,9.8,8.9
246,George Roberts,5.0,5.2,4.1,5.0,5.4,5.5,5.3,7.6,8.0,8.2
247,Bernard Marcus,3.5,3.8,3.3,4.0,5.1,5.2,4.6,7.2,8.7,8.0
248,Pierre Omidyar,8.2,8.0,7.2,8.0,10.5,11.4,11.0,21.4,11.3,8.8
249,Chase Coleman III,1.6,2.1,2.4,1.9,2.2,3.1,4.5,10.3,10.3,8.5
250,Graeme Hart,7.0,6.9,6.4,9.5,10.1,9.1,10.5,8.7,9.4,8.6
251,Wu Yajun,3.7,3.4,3.2,4.5,7.7,9.4,12.0,18.3,15.3,10.1
252,Jim Kennedy,7.7,8.5,9.7,12.2,13.0,9.3,7.6,9.4,7.8,8.4
253,Blair Parry-Okeden,7.7,8.5,9.7,12.2,13.0,9.3,7.6,9.4,7.8,8.4
254,Francine von Finck,,,,,,,,,8.4,8.3
255,Tilman Fertitta,2.4,2.5,3.0,2.9,4.3,4.7,4.3,4.6,5.6,8.1
256,Pei Zhenhua,,,,,,1.5,2.4,7.5,12.5,8.8
257,Wang Liping,,,,1.1,2.0,2.3,4.5,13.1,8.6,9.0
258,John Morris,4.0,4.1,3.8,4.0,4.4,5.7,3.2,4.1,6.0,8.3
259,Nicky Oppenheimer,6.7,6.7,6.6,7.0,7.7,7.3,7.4,8.0,8.7,8.4
260,Carlos Alberto Sicupira,8.9,11.3,11.3,12.5,12.0,8.9,4.8,8.7,8.5,8.6
261,Robin Li,12.1,15.3,11.0,13.3,12.0,9.6,4.9,14.7,7.0,7.7
262,Barry Lam,4.1,4.1,3.1,3.8,3.9,3.8,3.9,5.3,5.9,5.2
263,Karel Komarek,1.6,1.7,1.6,2.2,3.2,3.1,3.1,5.5,7.7,8.1
264,Ashwin Dani,1.3,2.4,2.2,2.7,3.3,3.9,4.2,6.3,7.7,7.0
265,Francis Choi,3.3,3.7,5.7,5.9,6.4,6.7,6.6,6.6,8.1,8.2
266,Pavel Tykac,1.0,1.1,1.2,1.3,1.3,1.4,1.4,1.7,3.4,8.0
267,Marc Benioff,3.3,3.4,3.3,4.0,4.9,6.6,5.8,8.4,8.1,7.0
268,Rocco Commisso,,,,,4.3,4.5,4.5,7.2,6.1,7.8
269,German Khan,11.3,9.5,8.7,9.3,9.8,9.7,8.5,10.1,7.8,8.2
270,Marie Besnier Beauvalot,2.7,2.5,2.7,4.0,5.4,5.0,4.4,6.7,8.2,7.7
271,Jean-Michel Besnier,2.7,2.5,2.7,4.0,5.4,5.0,4.4,6.7,8.2,7.7
272,Joe Gebbia,,1.9,3.3,3.8,3.8,3.7,4.1,12.4,10.0,7.6
273,Elisabeth DeLuca,,,,,,,,,,
274,Eric Wittouck,,,,,,7.6,8.0,10.0,9.0,8.0
275,Wang Jianlin,15.1,24.2,28.7,31.3,30.0,22.6,14.0,14.8,13.2,8.2
276,Leonid Fedun,6.5,5.3,3.9,6.3,6.9,8.7,6.3,11.1,5.0,8.0
277,Robert F. Smith,,,2.5,2.5,4.4,5.0,5.0,6.0,6.7,8.0
278,David Shaw,3.6,4.1,5.0,5.4,6.4,7.0,7.3,7.3,7.5,7.9
279,Andrei Skoch,8.2,5.7,5.3,6.9,4.9,5.2,6.3,8.6,4.7,7.9
280,Ramzi Musallam,,,,,,,,,4.0,7.9
281,Richard Liu,2.7,7.4,6.3,7.7,10.8,6.0,8.2,22.4,10.5,8.8
282,Jin Baofang,,,,,,,,3.9,11.3,9.6
283,Orlando Bravo,,,,,,,3.0,4.4,6.3,7.9
284,Henry Kravis,5.0,5.2,4.2,5.0,5.3,5.5,5.2,7.3,7.7,7.5
285,Joseph Tsai,3.7,5.9,4.2,5.8,9.7,9.5,10.0,11.6,8.4,7.6
